IMAGE_FILE,DESCRIPTION,AUTHOR
39821-17strada.jpg,"In the final period, which saw [PAINTER] focussing his attention on religious themes, he still found the energy to paint portraits. Between 1567 and 1568 he produced two of his greatest masterpieces in this field: the Prado Self-Portrait and the Portrait of Jacopo Strada in Vienna.The portrait of the well-known antiquarian Jacopo Strada, one of the most famous of [PAINTER]'s late portraits, represents Jacopo Strada, an expert of antiquities as presenting a small Venus statue. On the table there are some objects, ",TIZIANO Vecellio
39706-08urbin.jpg,"The Venus of Urbino was painted for Guidobaldo della Rovere, the heir of Francesco Maria della Rovere, Duke of Urbino. If the pose of this Venus brings to mind that of Giorgione's Sleeping Venus in Dresden (which the young [PAINTER] had completed after Giorgione's death) the intent of the painting is quite different. [PAINTER]'s Venus has nothing to do with Giorgione's idealised image of female beauty, it is normally interpreted as an allegory of marital love. There have been some suggestions that there might be ",TIZIANO Vecellio
18275-0814grec.jpg,"The painting represents the thirteenth-century founder of the Dominican order kneeling in isolation on a rocky plateau in prayerful devotion before a crucifix. Behind him is a landscape with one of [PAINTER] haunting skies filled with swirling, back-lit clouds. Considering the individual features [PAINTER] has given the saint, it is assumed that the picture was based upon the features of a particular person, someone the artist knew personally.The crucifix, propped against the rocks, is repeated by [PAINTER] ","GRECO, El"
10341-2bocca1.jpg,"La Bocca della Verit&#224; (in English, ""the Mouth of Truth"") is an image, carved from marble, of a man-like face, located in the portico of the church of Santa Maria in Cosmedin in Rome, Italy. The sculpture is thought to be part of a 1st century ancient Roman fountain portraying one of several possible pagan gods, probably Oceanus.The most famous characteristic of the Mouth, however, is its role as a lie detector. Starting from the Middle Ages, it was believed that if one told a lie with one's hand in the","CRANACH, Lucas the Elder"
39730-6perseus.jpg,This painting is one of the six 'poesie' painted by [PAINTER] for Philip II of Spain,TIZIANO Vecellio
33538-49portra.jpg,"Catalogue number: Bredius 216.In Rembrandt's work full-length portraits are the exception, clients seeming to have favoured half-length portraits, generally for reasons of cost. Those, then, who had themselves portrayed life-size had a specific goal in mind: to demonstrate their wealth and status. The subject was identified only recently as Andries de Graeff (1611-1778), burgomaster of Amsterdam and patron of the arts",REMBRANDT Harmenszoon van Rijn
17181-2enclos4.jpg,"Catalogue numbers: F 618, JH 1773","GOGH, Vincent van"
18299-1013grec.jpg,"The sitter is presented simply, against a grey background, close to the picture plane and looking directly at the spectator. There is no detail or modelling in the costume, with the exception of the stiff white ruff. In spite of its unusual square format, there is no reason to think that this portrait has been reduced in height. The apparent absence of any artifice or rhetoric makes this one of [PAINTER] most engaging portraits.The dates proposed for the portrait range between 1584 and 1600, illustrating h","GRECO, El"
10132-12religi.jpg,"In his period in Vienna, [PAINTER]'s style was astonishingly innovative, as seen in the Crucifixion of 1503, with its slanting perspective. The sparkling colour range he used at the time reveals unmistakable parallels with the Danube school, but it is not clear whether he came into contact with Albrecht Altdorfer, Wolf Huber and others","CRANACH, Lucas the Elder"
16456-franc23.jpg,This scene is situated at eye level on the wall right to the entrance of the chapel,GIOTTO di Bondone
39787-12charle.jpg,"This portrait is the earliest surviving example of a series of portraits [PAINTER] painted of Emperor Charles V. It was almost certainly painted in Bologna in 1533, for numerous sources describe the emperor's clothing at this time as being very similar to what he is shown wearing in the painting. It is generally accepted that in this picture [PAINTER] was copying a portrait made by the Austrian artist Jakob Seisenegger, though there have also been suggestions that the opposite is the case. [PAINTER] projects his sub",TIZIANO Vecellio
39689-10pieta.jpg,"In the second half of the 16th century [PAINTER] was continually overburdened with commissions for work - from Charles V and Philip II, from the Republic and from many churches. Overcoming the crisis of Mannerism shortly before his stay in Rome at the Papal court (1545/6), [PAINTER]'s work now took on a new incomparable coherence of vision and creative force. We witness the triumph of colour and light over the Renaissance notions of sculptural form. In his later works [PAINTER]'s handling of colour is suffused with ",TIZIANO Vecellio
39583-00view.jpg,"The deep apse is divided vertically by slender ribbing, and illuminated by four orders of lancet windows, separated by elegant quatrefoil decorative motifs. Above the high altar rises [PAINTER]'s celebrated altarpiece of the Assumption",TIZIANO Vecellio
39679-04carryi.jpg,"In the 1570s [PAINTER] executed an outstanding series of paintings dedicated to the passion of Christ. This include the Crowning with Thorns (Alte Pinakothek, Munich), Mocking of Christ (Art Museum, St. Louis), Ecce Homo (The Hermitage, St. Petersburg), and two versions of Christ Carrying the Cross (The Hermitage, St. Petersburg, and Museo del Prado, Madrid). In these works, pervaded with immense dramatic power, the brushstrokes gradually dissolve into rapidly applied dabs of pigment. The aim is no longer to r",TIZIANO Vecellio
35500-30mythol.jpg,"This is a joint work by [PAINTER] an Jan Brueghel the Elder for which Brueghel painted the landscape and [PAINTER] the figures.The painting represents a scene from Ovid's Metamorphoses. The lustful shepherd-god Pan pursued the shy, virginal nymph Syrinx, who ran to a river to escape him, calling on her 'sisters of the stream' to turn her into a reed. Just as Pan attempted to seize the nymph, she was transformed and he was left holding not a beautiful maiden but a bunch of reeds. From these he made his pipes, ever","RUBENS, Peter Paul"
32980-02inghir.jpg,"This portrait shows the eminent man of letters and librarian of Pope Leo X with an absorbed expression, in the act of writing. It is assumed that Inghirami worked with [PAINTER] on the program of the Stanza della Segnatura. The portrait is an exceptional work for its fullness of vision and vibrant colours, without being excessively grandiose or dramatic.There are two extant versions: one in Boston and the other in Palazzo Pitti. Each has been considered the original at one time or another, but the dispute is ",RAFFAELLO Sanzio
10221-4faun1.jpg,"This painting represents one of the mythological descriptions of 'wild people', the forest dwellers and demigods who first appear in [PAINTER]'s work in prints and drawings. Shortly before 1530 he began producing these as independent pictorial subjects, using the medium of panel painting. The present picture is an example of these paintings","CRANACH, Lucas the Elder"
17210-copies02.jpg,"Catalogue numbers: F 700, JH 1781","GOGH, Vincent van"
35589-07furcoa.jpg,"In this painting the artist portrayed his second wife, Helene Fourment nude but for a fur. This was certainly his favourite among the many paintings exhibiting her undeniable charms. At all events, he refused to part with Het Pelsken. In tones worthy of Titian, he painted Helene with curly hair, her nipples erect, her nudity barely concealed by a fur wrap better suited to her husband's bulk than her own. Her expression is difficult to read: is her mutinous air intended as a provocation, or was she simply an","RUBENS, Peter Paul"
32829-athens.jpg,"The School of Athens is a depiction of philosophy. The scene takes place in classical times, as both the architecture and the garments indicate. Figures representing each subject that must be mastered in order to hold a true philosophic debate - astronomy, geometry, arithmetic, and solid geometry - are depicted in concrete form. The arbiters of this rule, the main figures, Plato and Aristotle, are shown in the centre, engaged in such a dialogue.The School of Athens represents the truth acquired through reas",RAFFAELLO Sanzio
39374-28mirac.jpg,"In this canvas [PAINTER] uses the same scenic structure as in the Ascent to Calvary carried out for the Sala dell'Albergo in 1566: a foreground in shadow against which a background in full light is diagonally set. In the dense half-shadow against the hill, that rises towards the left, the light shows up and outlines all the figures arranged in wide, curved poses. The figures waiting for the miracle to be performed cover the hilly area against a blue sky streaked by the first rosy light of sunset. The figur",TINTORETTO
16059-02ascens.jpg,This fresco is strongly damaged,GIOTTO di Bondone
10091-19altar.jpg,"The two paintings in Krom&#236;&#248;í&#158;, depicting the beheading of John the Baptist and St Catherine, probably formed the two side wings of a triptych. They were commissioned by Stanislaus Thurzó (1470-1540) a patrician from Upper Hungary, the Bishop of Olmütz (Olomouc). These paintings are regarded as among [PAINTER]'s best works from the 1510s. There are several studio replicas and seventeenth-century copies of both panels","CRANACH, Lucas the Elder"
16150-chris15.jpg,"This dramatic scene takes place at night. Torches shine out among the sticks and halberds against the blue of the sky. The throngs of people crowd into the centre, towards Christ, who is betrayed by Judas' kiss. Every movement, even that of Peter as he cuts off the ear of an attacker, and every gaze heightens the tension of the central confrontation.With the force of his body Judas presses against Christ, who appears to disappear beneath the traitor's cloak. This expresses the inevitable outcome of this ove",GIOTTO di Bondone
10100-29altar.jpg,"Two large altar wings painted on both sides hang today in the sacristy of Naumburg Cathedral. They include two bishops of Naumburg. On the left wing we see Philipp of the Palatinate and on the right Johannes III von Schönberg (both with their coat of arms, surmounted by mitre and cozier).The inner side of the right wing represents Sts James the Greater and Mary Magdalen with Johannes III von Schönberg","CRANACH, Lucas the Elder"
10097-26altar.jpg,"This panel, executed by the workshop of [PAINTER], was cut out from an altar wing","CRANACH, Lucas the Elder"
10180-2judith7.jpg,"In this panel Judith presents the severed head of Holofernes, the Assyrian general directing the siege of her city, having killed him with his own sword. The virtuous heroine, who seduced the enemy with her coquettish appeal, is dressed in an elaborate contemporary costume that is characteristic of [PAINTER]'s courtly mannerism.The painter and his workshop produced several versions of this successful composition, which contrasts the gruesome head and the serene beauty of the biblical heroine. At the lower rig","CRANACH, Lucas the Elder"
39339-002inter.jpg,"The spectacular Sala Superiore (Upper Hall) on the upper floor of the Scuola Grande di San Rocco is one of the most impressive interiors in Venice. The chamber, with its simple, lucid design (note the fine arched Renaissance windows), is dominated by the splendid ceiling of gilt woodwork, in which [PAINTER] set his paintings of stories from the Old Testament, while the walls are lined with episodes from the Gospels. The whole series was painted between 1576 and 1581, while [PAINTER] was also working on th",TINTORETTO
33549-72portra.jpg,Catalogue number: Bredius 110,REMBRANDT Harmenszoon van Rijn
