IMAGE_FILE,DESCRIPTION,AUTHOR,comment_length
16346-virtu_4.jpg,"The figures of Justice and Injustice are larger than those of the other Virtues and Vices, and occupy a central position on the dado. Justice (lustitia), is enthroned on a wide Gothic seat. She holds punishment and clemency on scales in her hands. Peaceful life develops under her reign - this is displayed in the scene on the pedestal other throne",GIOTTO di Bondone,348
16980-2hague03.jpg,"Catalogue numbers: F 4, JH 187.In the years 1881-83 [PAINTER] had often visited Scheveningen, a fishing village and holiday resort on the North Sea, a few miles from The Hague. There he drew the great fishing smacks drawn up on the beach, in the manner of Hague School painters such as Henrik Mesdag and Anton Mauve","GOGH, Vincent van",314
33896-11noremb.jpg,"Catalogue number: Bredius 109.[PAINTER]'s life-size effigy of Saskia was painted one year after her death. She is portrayed in theatrical fashion, decked out in ""historical"" attire, gems, and turban, through which [PAINTER] strove for a timelessness to reinforce the power of her lost presence. Saskia had been closely studied in the more than twenty portraits for which she posed.The painting's support, an unusually durable and costly mahogany, allows for subtle, glimmering highlights. A self-portrait on maho",REMBRANDT Harmenszoon van Rijn,624
35604-06landsc.jpg,"Saint George and the Dragon symbolises the close relationship established between [PAINTER] and the court of Charles I. The subject honours the patron saint of England and of the Order of the Garter, founded by Edward III in 1348. The features of Saint George are traditionally stated to be those of Charles I, while the figure of the Empress Cleodelinde is, according to the same tradition, intended to be Queen Henrietta Maria. The verdant landscape is also a form of flattery in so far as it is inspired by the E","RUBENS, Peter Paul",2685
39730-6perseus.jpg,This painting is one of the six 'poesie' painted by [PAINTER] for Philip II of Spain,TIZIANO Vecellio,81
16990-nuenen05.jpg,"Catalogue numbers: F 185, JH 484.Van Gogh lived in Nuenen between December 1883 and November 1885, first in the house of his father who was the pastor of the Nuenen parish. He made drawings and oil paintings of the parental gardens as well as the street façade and the garden façade of the parsonage.From the garden of the parsonage there was a good view of the tower of the old ruined village church. This old tower standing alone in the middle of the field appeared in the earliest works which [PAINTER] painted","GOGH, Vincent van",651
16023-franc05.jpg,"This is the fifth of the twenty-eight scenes (twenty-five of which were painted by [PAINTER]) of the Legend of Saint Francis.When Francis' father accuses his son before the episcopal tribune of squandering his fortune, Francis returns to him even the clothes he is wearing, and repudiates him. [PAINTER] illustrates this sensational public separation, which signifies the decisive step towards the saint's future life of poverty, by means of the two groups of people on opposite sides. The buildings further reinforce ",GIOTTO di Bondone,543
33891-06noremb.jpg,"Catalogue number: Bredius 213.Despite the fact that it bears [PAINTER]'s signature and a date (upper right: [PAINTER] 1637), the well-known portrait of Eleazer Swalmius is probably not by the master himself, to whom it has traditionally been attributed, but from his Amsterdam studio. The portrayal is sober, simple and life-size; the colouring is muted, and the use of light serves to emphasise the face and hands of the sitter",REMBRANDT Harmenszoon van Rijn,428
35500-30mythol.jpg,"This is a joint work by [PAINTER] an Jan Brueghel the Elder for which Brueghel painted the landscape and [PAINTER] the figures.The painting represents a scene from Ovid's Metamorphoses. The lustful shepherd-god Pan pursued the shy, virginal nymph Syrinx, who ran to a river to escape him, calling on her 'sisters of the stream' to turn her into a reed. Just as Pan attempted to seize the nymph, she was transformed and he was left holding not a beautiful maiden but a bunch of reeds. From these he made his pipes, ever","RUBENS, Peter Paul",986
17040-flower13.jpg,"Catalogue numbers: F 375, JH 1329.Late in the summer of 1887, when the sunflowers were fading, [PAINTER] addressed the motif of sunflowers, isolating and focusing it in two small format studies, the present one in New York (F 375) and another in Bern (F 376). On these studies a third, large-format painting of cut sunflowers (F 452) is based","GOGH, Vincent van",341
15996-noli_me.jpg,"There was more wall space at the artists' disposal in the Magdalen Chapel than at Padua, and the two scenes that appear in both places, the Raising of Lazarus and the Noli me tangere are consequently larger",GIOTTO di Bondone,206
10345-4hunt1.jpg,"[PAINTER] was a court painter for the Elector Frederic the Wise of Saxony (1463-1525) from 1504 until his death. He painted several scenes of hounds wearing out their quarry before the killing blow is delivered. The paintings share similar compositions: the landscape is viewed from a bird's eye perspective, allowing the artist to clearly describe all the stages of the hunt","CRANACH, Lucas the Elder",373
41447-assumpti.jpg,"This powerfully composed, anonymous Assumption of the Virgin may reflect some great lost Trecento image of this key theme","UNKNOWN MASTER, Italian",121
17139-arles61.jpg,"Catalogue numbers: F 548, JH 1653.In his letters written from Arles, [PAINTER] often shared his impression of attending the bullfights performed in the Roman arena of the city. He was especially fascinated  with the motley crowd of spectators, a subject that takes over this work. Abrupt flashes of colour create a sense of alarm that seems to have affected the woman in the bottom left-hand corner who turns away from the view","GOGH, Vincent van",426
17160-portra12.jpg,"Catalogue numbers: F 492 JH 1642.Van Gogh painted two portraits of the Roulin's seventeen-year-old son, Armand. Both were completed in November 1888 but neither on the size of canvas originally planned. One  shows a young man in profile, dressed in a dark blue suit and matching hat; the other, probably the first version, presents Armand Roulin full face, in a citrine jacket and contrasting hat and waistcoat of blue. Both paintings are very simple in their composition, presenting the young man without any ad","GOGH, Vincent van",957
17135-arles57.jpg,"Catalogue numbers: F 496, JH 1630.Etten is the Dutch town in which the 18-year-old [PAINTER] lived with his parents in 1881. The women in the left-hand corner resemble his mother and sister. The landscape is utterly fantastic, painted from the imagination according to the advice of Paul Gauguin, with whom [PAINTER] was keeping company. But the painting displays far less Gauguin-esque symbolism than it does [PAINTER]'s explosive temperament: the trees, like tongues of fire, are a reminder of the vividness of yo","GOGH, Vincent van",530
10291-04elect1.jpg,[PAINTER] painted several portraits of the Elector and there are numerous small-scale workshop versions,"CRANACH, Lucas the Elder",101
10106-11virgin.jpg,"The Virgin is holding a bunch of grapes which the Infant Christ is eating. Behind the figures lies an extensive mountainous landscape and above it a brilliant blue sky. The mountains in the background take on a blue hue, a device used to represent the effects of atmosphere on a distant landscape. The cold and monochromatic tones of the landscape serve to emphasize the strong colours of the main figures","CRANACH, Lucas the Elder",405
33541-62portra.jpg,"Catalogue number: Bredius 357.The counterpiece of this traditional Dutch portrait - the portrait of the sitter's husband Herman Doomer, a cabinetmaker of German origin who worked in Amsterdam - is in the Metropolitan Museum of Art, New York. Both paintings were inherited by Lambert Doomer, the couple's son, who was a pupil of [PAINTER]. He made and signed copies for his five brothers as required by the will of his parents",REMBRANDT Harmenszoon van Rijn,425
38932-11alvisf.jpg,"Eighteenth-century Venetian art, usually seen as more profane than sacred, was surprisingly inventive in terms of religious subject matter, none more so than that of Giovanni Battista Tiepolo, in both his etchings and paintings. This Carrying the Cross, panoramic in the greatest Venetian tradition, is a bozzetto for the central section of a Passion triptych for Sant'Alvise, Venice, completed c. 1738","TIEPOLO, Giovanni Battista",402
35648-11sketch.jpg,This is a sketch for a large altar painting,"RUBENS, Peter Paul",43
41404-14ufres4.jpg,"This fresco fragment comes from the Palazzo Comunale in the Piazza Vittorio Emmanuele, Assisi. Since this is a secular place, the frescoes must have come from a chapel within it","UNKNOWN MASTER, Italian",177
16439-franc11.jpg,"This scene is situated in the lunette of the wall left to the entrance of the chapel.The clearly articulated palace building is set obliquely within the field of the lunette. This creates great tension, appropriate to the confrontation between St. Francis and his infuriated father. [PAINTER] also uses the reactions of the individual figures to demonstrate the outrageousness of the saints public decision to renounce all his worldly goods",GIOTTO di Bondone,437
17084-orchar05.jpg,"Catalogue numbers: F 404, JH 1391.The very meaning of [PAINTER] fruit trees is light. Even where shadows are suggested, the darker zones are like shadows cast by the blossoms themselves - as if the blossoms were a light bulb and the trunk and branches a lampstand. The present close-up of a peach tree demonstrates this in an exemplary manner: at ground level, shadows spread out on both sides","GOGH, Vincent van",394
35501-30mythom.jpg,"The story of Pan and Syrinx - a satyr-like god pursuing a beautiful nymph - captured [PAINTER]'s imagination, and over the course of his career he returned to the theme as a subject for paintings and drawings.The present version is a joint work by [PAINTER] and Jan Brueghel the Younger for which Brueghel painted the landscape and [PAINTER] the figures. The figures were painted first and the landscape added later, presumably based on a preliminary design by Jan Brueghel the Elder","RUBENS, Peter Paul",474
18308-1107grec.jpg,"The two paintings in the Galleria Nazionale d'Arte Antica in Rome (Adoration of the Shepherds, Baptism of Christ) were considered workshop pieces or autograph replicas of two of the three pictures that [PAINTER] executed for the Colegio di Do&#241;a María de Aragón in Madrid (now dispersed and housed in the Muzeul de Arta, Bucharest and the Museo del Prado, Madrid). However, a recent radiographic analysis (1997) has proven that they are original oil sketches by the hand of [PAINTER] himself. The presence of p","GRECO, El",1227
16413-baptis01.jpg,"The part of the north wall shown here contains the following scenes: Birth of John the Baptist (top right), Naming of John the Baptist (top left), Feast of Herod (bottom)",GIOTTO di Bondone,170
10242-2lucret1.jpg,"The story of the rape of Lucretia was one of the best-known episodes in the early history of Rome. It told how Sextus Tarquinius, brutal son of the tyrannical king, forced the virtuous wife Lucretia to accede to his lust by threatening that he would kill both her and her servant-boy if she refused, and afterwards claim that he had discovered them together in the act of adultery. To prevent this dishonour to her husband and family, Lucretia permitted herself to be raped, and was thereby able to tell her stor","CRANACH, Lucas the Elder",1309
38884-main01.jpg,"The present-day structure of the Villa Loschi is the result of the reorganization and grouping of some preexisting building under the direction of architect Francesco Muttoni. The interior decoration  of the grand staircase and the main hall on the piano nobile was executed by Giovanni Battista Tiepolo within the brief span of three months in 1734.The decoration adheres to an iconographic program with the purpose to celebrate the moral quality of the Loschi family, owner of the villa.The the central section","TIEPOLO, Giovanni Battista",1004
38908-00bagli6.jpg,"The scene of The Fall of Phaethon, in which he plunges into the Po River, is located on the right portion of the wall, divided into two parts by the doors that lead into the hall from the monumental staircase","TIEPOLO, Giovanni Battista",208
41316-02cruci0.jpg,"This painting, one of the oldest in the Uffizi, was for many years given a general attribution to the Italian school of the twelfth century. Later, a close study of the clear, bright colours used in the small stories revealed the influence of miniature painting and the Byzantine taste of the composition, although with personal touches in the amusing narration which in places verges on the grotesque. The work is seen as significant evidence of the early influence of Pisan-Oriental art in Florence.The paintin","UNKNOWN MASTER, Italian",774
18197-0203grec.jpg,"The Baptism of Christ is the right panel on the front of the Modena Triptych.The Modena Triptych strikingly illustrates [PAINTER] transition from post-Byzantine icon painter to European artist of the Latin variety. The portable altarpiece, whose unknown patron perhaps stemmed from a Creto-Venetian family, in its open state shows a total of six scenes: on the front, the central panel bears a rare depiction of the Coronation of the Christian Knight, and on the wings we find the Adoration of the Shepherds on ","GRECO, El",869
18300-1014grec.jpg,"Likenesses have a special place in [PAINTER] work. Although he was primarily interested in painting religious subjects for ecclesiastical commissions, he also produced some outstandings portraits, often inserting them into his religious compositions, as for example in the famous ""Burial of Count Orgaz"" in Toledo. His formal portraits and studies from life are characterized by an element of drama and a penetrating insight into the character of the sitter. He was not interested in depicting the background, n","GRECO, El",1197
39029-1porteg2.jpg,"The wall of the portego shows the scene of The Sacrifice of Iphigenia.The sacrifice of Iphigenia takes place in an illusionistic hall of columns, which partially block the spectator's view of the scene. In the centre of the picture, Iphigenia lies on the altar, the priest ready to apply the knife. However, the deer hind sent by Diana to save Iphigenia is already descending on a cloud, accompanied by two putti, from the left towards the altar. Agamemnon stands somewhat isolated, on the very right of the pict","TIEPOLO, Giovanni Battista",781
10143-21religi.jpg,This panel was probably intended for private devotion. Its composition was based on the title page of Dürer's Engraved Passion of 1509,"CRANACH, Lucas the Elder",134
17250-auvers10.jpg,"Catalogue numbers: F 795, JH 2011","GOGH, Vincent van",33
